Legal_mean,Evil_Twin_mean,detected_mean,Legal_median,Evil_Twin_median,detected_median
0.06635570904081634,0.06241381161224489,0,0.06805277200000001,0.062451519999999996,0
0.0656499403368421,0.09254955213684211,1,0.065687502,0.06835272,1
0.0644128424742268,0.06349598198969073,0,0.064449673,0.063801101,0
0.06433002246391753,0.06444419279381443,1,0.065065154,0.064386019,0
0.06884297063917526,0.06399160824742268,0,0.069161345,0.064973746,0
0.06462807351041666,0.06390469279166666,0,0.06364664,0.0639448975,1
0.0647207731010101,0.06565034993939393,1,0.065732596,0.065804785,1
0.06519230031632652,0.06470289019387754,0,0.06798616299999999,0.06461417650000001,0
0.06563004500000001,0.06366445222680413,0,0.066054821,0.061257906,0
0.06266935930612244,0.06620949798979592,1,0.063669109,0.064744999,1
0.06449926688421052,0.06585649837894736,1,0.065822227,0.067302445,1
0.06565464010309278,0.06368174424742269,0,0.066990829,0.062393056,0
0.06434413760416667,0.06684570891666666,1,0.06494240949999999,0.061736182,0
0.0653539766632653,0.06294398439795917,0,0.065022403,0.064316871,0
0.06603397843298969,0.0625583826701031,0,0.067344744,0.059309863,0
0.06444074960824742,0.062361460989690726,0,0.066809228,0.060597038,0
0.07051356005208333,0.07533922584375001,1,0.0658003065,0.0681813015,1
0.06214612932323232,0.06457786437373737,1,0.060497624,0.064313002,1
0.06751148031958763,0.06421548946391753,0,0.069022332,0.064873611,0
0.06398875180208333,0.06316191185416666,0,0.0637288395,0.063835045,1
0.06576651822680413,0.06624881248453608,1,0.068495729,0.0648155,0
0.06271215387628866,0.06350766040206185,1,0.062618838,0.063932344,1
0.06486992917525773,0.0626439019587629,0,0.066257513,0.061006477,0
0.06744797259793814,0.06624512424742268,0,0.069434342,0.067397064,0
0.06470434569387755,0.06252133062244897,0,0.062949201,0.0602562735,0

0.025058873000000002,0.03405885279381443,1,0.020838393,0.026076964,1
0.025071533968750004,0.0279151584375,1,0.024060695,0.020494068,0
0.025644873163265306,0.028211534204081637,1,0.020909998,0.020494908,0
0.022780454375,0.031230245562499998,1,0.015986205,0.0222327045,1
0.02372246305263158,0.02399584818947368,1,0.019705795,0.019122568,0
0.02604047854639175,0.031536290463917524,1,0.021750161,0.018501879,0
0.021071849526315793,0.04183743391578947,1,0.016548217,0.026057394,1
0.027576769082474226,0.02333349527835052,0,0.02280763,0.017859489,0
0.025723194030612247,0.07285502403061227,1,0.023115822,0.027515495,1
0.025665383031578948,0.02678657554736841,1,0.021495483,0.020921067,0
0.027474644050505054,0.050751593181818176,1,0.026119715,0.025074314,0
0.02253803134375,0.029162582458333336,1,0.0172436025,0.021047066,1
0.022487924458333333,0.027334385177083333,1,0.0165400245,0.018982904000000002,1
0.022228810216494848,0.027749898154639175,1,0.016423007,0.019096701,1
0.026397533701030925,0.02676858986597938,1,0.022013913,0.022690013,1
0.02481802280208333,0.020409174729166667,0,0.023118149,0.017734693500000002,0
0.0265034602755102,0.02339495080612245,0,0.023394142,0.017445288,0
0.025210683454545448,0.023739897787878786,0,0.020754045,0.019366503,0
0.02601151310204082,0.022277742163265314,0,0.023706533000000002,0.0179388615,0
0.023387826814432994,0.02420176751546392,1,0.019172026,0.020054853,1
0.028757121183673465,0.02342018168367347,0,0.022462544,0.0185300065,0
0.03499998114285715,0.02449794813265306,0,0.021822868000000002,0.0202683565,0
0.024895099599999998,0.02314839874,0,0.020516899999999998,0.0194184395,0
0.026692994298969073,0.025569345917525774,0,0.022665154,0.021953414,0
0.023878972102040815,0.023140738642857143,0,0.021626449,0.0204122285,0
